"Program","CardName","Issuer","Link","IntroOffer","Cash","Points","Nights","Credit","FeeWaived1stYr","Fee","Spend","img","Rate","Value"
"AeroMexico","AeroMexico Visa Card","US","https://www.usbank.com/credit-cards/aeromexico-visa-credit-card.html?ics_src=19649","Receive 15,000 bonus miles after your first card use.1",0,15000,0,0,1,45,0,"https://www.usbank.com//images/credit-card/aeromexico_plat_110_70.png?6-15",0.01,150
"AeroMexico","AeroMexico Visa Secured Card","US","https://www.usbank.com/credit-cards/aeromexico-visa-secured-credit-card.html?ics_src=19649","Receive 5,000 bonus miles after your first card use.2",0,5000,0,0,1,25,0,"https://www.usbank.com//images/credit-card/aeromexico_plat_110_70.png?6-15",0.01,50
"AeroMexico","AeroMexico Visa Signature Card","US","https://www.usbank.com/credit-cards/aeromexico-visa-signature-credit-card.html?ics_src=19649","Receive 20,000 bonus miles after your first card use.1",0,20000,0,0,1,80,0,"https://www.usbank.com//images/credit-card/aeromexico_sig_110_70.png?6-15",0.01,200
"Alaska","Alaska Airlines Visa Signature","BOA","https://www.bankofamerica.com/credit-cards/products/alaska-airlines-credit-card/","30,000 bonus miles offer",0,30000,0,0,0,75,1000,"https://www.bankofamerica.com/content/images/ContextualSiteGraphics/CreditCardArt/en_US/Approved_PCM/1bbt_sigcm_v_mileageplan_250x158.png",0.018,465
"Allegiant","Allegiant World Mastercard","BOA","https://www.bankofamerica.com/credit-cards/products/allegiant-world-credit-card/","15,000 bonus points offer",0,15000,0,0,0,59,1000,"https://www.bankofamerica.com/content/images/ContextualSiteGraphics/CreditCardArt/en_US/Approved_PCM/ragp_wldcm_mc_250x158.png",0.01,91
"American","Citi AAdvantage Platinum Select World Elite Mastercard","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=citi-aadvantage-platinum-elite-credit-card&category=view-all-credit-cards&afc=1C2&intc=7~7~67~1~MCT~1~citi-aadvantage-platinum-elite-credit-card~4XSX1F8751C2L10202W","Don't pass this up - apply today Earn 60,000 American Airlines AAdvantageÂ® bonus miles after making $3,000 in purchases within the first 3 months of account opening.2 Annual Fee: $95 (Fee waived for the first 12 months)1",0,60000,0,0,1,95,3000,"https://www.citi.com/CRD/images/card_no_reflection/citi-aadvantage-platinum-elite-credit-card.jpg",0.015,900
"American","AAdvantage Aviator Red World Elite Mastercard","Barclay","https://home.barclaycardus.com/cards/aadvantage-aviator-red-world-elite-mastercard.html","Earn 50,000 American Airlines AAdvantage® bonus miles",0,50000,0,0,0,95,0,"https://home.barclaycardus.com/content/dam/bcuspublic/card-plastic/card-front/AAFlat-Card.png",0.015,655
"American","Citi AAdvantage Gold World Elite Mastercard","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=citi-aadvantage-gold-elite-credit-card&category=view-all-credit-cards&afc=1C2&intc=7~7~67~1~MCT~1~CMSDefaultOffer~4XRW12V731C2111111W","Earn 25,000 American Airlines AAdvantageÂ® bonus miles after making $750 in purchases within the first 3 months of account opening2. Enjoy our lowest intro APR on purchases and balance transfers. Annual Fee: $50 (Fee waived for the first 12 months)1",0,25000,0,0,1,50,750,"https://www.citi.com/CRD/images/card_no_reflection/citi-aadvantage-gold-elite-credit-card.jpg",0.015,375
"American","Citi AAdvantage Executive World Elite Mastercard","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=citi-aadvantage-executive-credit-card&category=view-all-credit-cards&afc=1C2&intc=7~7~67~1~MCT~1~CMSDefaultOffer~4XEB1K6731C2111111W","Donâ<U+0080><U+0099>t pass this offer up â<U+0080><U+0093> apply today Earn 50,000 American Airlines AAdvantageÂ® bonus miles after making $5,000 in purchases within the first 3 months of account opening.2 Plus, Admirals ClubÂ® membership. Annual Fee: $4501",0,50000,0,0,0,450,5000,"https://www.citi.com/CRD/images/card_no_reflection/citi-aadvantage-executive-credit-card.jpg",0.015,300
"American","CitiBusiness AAdvantage Platinum Select World Mastercard","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=citibusiness-aadvantage-platinum-select-credit-card&category=view-all-credit-cards&afc=1C2&intc=7~7~67~1~MCT~1~CMSDefaultOffer~6HXZELK751C2L00101W","Earn 60,000 American Airlines AAdvantageÂ® bonus miles after spending $3,000 in purchases within the first 3 months of account opening. Annual Fee $95 (Fee waived for the first 12 months)1",0,60000,0,0,1,95,3000,"https://www.citi.com/CRD/images/card_no_reflection/citibusiness-aadvantage-platinum-select-credit-card.jpg",0.015,900
